Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Mitte,Entire Home/Apt,2,1,62,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,4,Yes,Yes,Yes,Yes,76
Neukölln,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,43
Friedrichshain-Kreuzberg,Private Room,2,1,10,Yes,No,Yes,Yes,61
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,16,Yes,No,Yes,Yes,58
Pankow,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,80
Neukölln,Private Room,2,1,34,Yes,No,Yes,Yes,60
Neukölln,Private Room,2,2,7,Yes,Yes,Yes,Yes,48
Neukölln,Entire Home/Apt,4,2,59,Yes,No,No,No,120
Pankow,Private Room,2,1,17,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,No,No,47
Pankow,Entire Home/Apt,5,3,7,Yes,No,Yes,Yes,59
Mitte,Private Room,2,1,4,Yes,Yes,Yes,Yes,34
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,5,Yes,No,Yes,Yes,60
Neukölln,Entire Home/Apt,2,0,88,Yes,Yes,Yes,Yes,69
Mitte,Private Room,2,1,75,Yes,No,Yes,Yes,25
Neukölln,Private Room,1,1,0,Yes,No,Yes,Yes,30
Tempelhof - Schöneberg,Private Room,1,1,9,Yes,Yes,Yes,Yes,25
Pankow,Entire Home/Apt,2,0,1,Yes,No,No,Yes,30
Treptow - Köpenick,Private Room,4,1,11,Yes,Yes,Yes,Yes,30
Pankow,Entire Home/Apt,4,1,0,Yes,Yes,Yes,Yes,66
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,3,Yes,No,Yes,Yes,85
Tempelhof - Schöneberg,Private Room,2,1,22,Yes,Yes,Yes,Yes,26
Friedrichshain-Kreuzberg,Private Room,1,1,2,Yes,No,Yes,Yes,16
Pankow,Private Room,3,1,5,Yes,No,Yes,Yes,75
Neukölln,Entire Home/Apt,2,1,1,Yes,Yes,No,No,35
Mitte,Entire Home/Apt,4,2,52,No,No,Yes,Yes,98
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,80
Spandau,Entire Home/Apt,6,2,12,No,No,Yes,Yes,112
Charlottenburg-Wilm.,Private Room,2,1,12,Yes,No,Yes,Yes,45
Neukölln,Private Room,2,1,4,Yes,Yes,Yes,Yes,20
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,No,32
Treptow - Köpenick,Private Room,3,2,6,Yes,No,Yes,Yes,125
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,39,No,No,Yes,Yes,55
Tempelhof - Schöneberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,60
Treptow - Köpenick,Private Room,1,1,36,Yes,No,Yes,Yes,20
Mitte,Private Room,1,0,0,Yes,No,Yes,Yes,13
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,49
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,No,Yes,Yes,Yes,69
Mitte,Private Room,1,1,3,Yes,Yes,Yes,Yes,30
Steglitz - Zehlendorf,Entire Home/Apt,5,2,93,Yes,No,Yes,Yes,69
Charlottenburg-Wilm.,Private Room,2,1,48,Yes,Yes,Yes,Yes,35
Tempelhof - Schöneberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,26
Mitte,Private Room,2,1,8,Yes,No,Yes,Yes,55
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,2,Yes,Yes,Yes,Yes,49
Mitte,Private Room,2,1,31,Yes,No,Yes,Yes,39
Friedrichshain-Kreuzberg,Entire Home/Apt,2,0,0,Yes,Yes,No,Yes,50
Neukölln,Private Room,2,1,4,Yes,Yes,Yes,Yes,31
Steglitz - Zehlendorf,Entire Home/Apt,5,2,91,Yes,No,Yes,Yes,75
Mitte,Private Room,2,1,1,Yes,No,No,Yes,18
Friedrichshain-Kreuzberg,Private Room,3,1,8,Yes,No,Yes,Yes,28
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,9,Yes,No,Yes,Yes,80
Neukölln,Private Room,3,1,4,Yes,Yes,No,Yes,42
Pankow,Entire Home/Apt,2,1,100,Yes,No,No,Yes,42
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,54
Neukölln,Private Room,4,1,5,Yes,Yes,No,No,38
Neukölln,Private Room,5,1,12,Yes,Yes,No,Yes,89
Neukölln,Entire Home/Apt,12,3,67,Yes,Yes,No,Yes,250
Neukölln,Entire Home/Apt,2,1,0,Yes,Yes,No,Yes,42
Friedrichshain-Kreuzberg,Private Room,1,1,5,Yes,Yes,Yes,Yes,22
Mitte,Entire Home/Apt,5,2,21,Yes,No,Yes,Yes,149
Charlottenburg-Wilm.,Entire Home/Apt,3,2,2,Yes,No,No,Yes,45
Mitte,Entire Home/Apt,6,2,24,Yes,No,Yes,Yes,60
Lichtenberg,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,25
Mitte,Private Room,1,1,7,Yes,No,Yes,Yes,20
Pankow,Private Room,4,1,0,Yes,No,Yes,Yes,99
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,2,Yes,No,Yes,Yes,85
Steglitz - Zehlendorf,Entire Home/Apt,1,1,16,Yes,No,Yes,Yes,20
Mitte,Private Room,4,1,8,Yes,Yes,Yes,Yes,27
Marzahn - Hellersdorf,Entire Home/Apt,3,1,69,Yes,No,Yes,Yes,50
Neukölln,Private Room,4,1,1,Yes,No,Yes,Yes,29
Neukölln,Private Room,2,1,14,Yes,Yes,No,Yes,30
Friedrichshain-Kreuzberg,Private Room,2,1,2,Yes,Yes,Yes,Yes,19
Pankow,Private Room,2,1,60,Yes,Yes,Yes,Yes,49
Charlottenburg-Wilm.,Private Room,2,1,5,Yes,No,Yes,Yes,19
Mitte,Entire Home/Apt,6,2,63,Yes,No,Yes,Yes,125
Mitte,Private Room,1,1,5,Yes,No,Yes,Yes,35
Pankow,Entire Home/Apt,4,2,6,Yes,No,Yes,Yes,98
Charlottenburg-Wilm.,Entire Home/Apt,3,1,5,Yes,No,Yes,Yes,35
Mitte,Entire Home/Apt,4,1,190,Yes,No,No,Yes,64
Pankow,Entire Home/Apt,4,3,0,Yes,No,Yes,Yes,140
Neukölln,Private Room,2,1,0,Yes,No,Yes,Yes,28
Tempelhof - Schöneberg,Private Room,1,1,2,Yes,Yes,Yes,Yes,15
Friedrichshain-Kreuzberg,Private Room,2,1,19,Yes,Yes,Yes,Yes,40
Treptow - Köpenick,Entire Home/Apt,2,1,56,Yes,No,No,Yes,59
Mitte,Private Room,2,1,11,Yes,No,Yes,Yes,22
Mitte,Private Room,2,1,17,Yes,Yes,Yes,Yes,60
Pankow,Entire Home/Apt,2,0,7,Yes,No,Yes,Yes,59
Neukölln,Private Room,2,1,5,Yes,Yes,Yes,Yes,21
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,147,Yes,No,Yes,Yes,79
Pankow,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,45
Mitte,Shared Room,8,1,53,Yes,No,Yes,Yes,22
Pankow,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,55
Neukölln,Private Room,3,1,3,Yes,Yes,Yes,Yes,33
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,50
Mitte,Entire Home/Apt,4,2,7,Yes,Yes,Yes,Yes,50
Mitte,Entire Home/Apt,2,2,13,Yes,Yes,Yes,Yes,75
Tempelhof - Schöneberg,Private Room,2,1,1,Yes,No,Yes,Yes,25
Mitte,Entire Home/Apt,2,1,18,No,Yes,Yes,Yes,70
Pankow,Private Room,1,1,1,Yes,Yes,Yes,Yes,35
Marzahn - Hellersdorf,Private Room,3,1,9,Yes,No,Yes,Yes,37
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,1,Yes,No,Yes,Yes,28
Pankow,Entire Home/Apt,2,1,4,Yes,Yes,Yes,Yes,75
Neukölln,Private Room,2,1,0,Yes,No,Yes,Yes,25
Charlottenburg-Wilm.,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,95
Friedrichshain-Kreuzberg,Entire Home/Apt,2,2,2,Yes,Yes,Yes,Yes,52
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,24
Mitte,Private Room,2,1,7,Yes,No,No,Yes,32
Mitte,Private Room,2,1,2,Yes,No,No,Yes,32
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,4,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,3,1,15,Yes,Yes,No,No,55
Steglitz - Zehlendorf,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,79
Pankow,Private Room,2,1,35,Yes,Yes,Yes,No,39
Neukölln,Private Room,1,1,1,Yes,Yes,Yes,Yes,45
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,No,Yes,Yes,35
Tempelhof - Schöneberg,Private Room,1,1,26,Yes,Yes,Yes,Yes,14
Friedrichshain-Kreuzberg,Entire Home/Apt,4,3,3,Yes,No,Yes,Yes,100
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,3,Yes,Yes,Yes,Yes,65
Pankow,Private Room,1,1,0,Yes,Yes,No,Yes,20
Pankow,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,42
Pankow,Entire Home/Apt,4,1,65,Yes,No,Yes,Yes,95
Lichtenberg,Entire Home/Apt,2,1,9,No,No,Yes,Yes,50
Pankow,Private Room,3,1,97,Yes,Yes,Yes,Yes,49
Neukölln,Private Room,2,1,35,Yes,Yes,No,Yes,30
Treptow - Köpenick,Entire Home/Apt,2,1,1,Yes,Yes,No,Yes,50
Charlottenburg-Wilm.,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,50
Charlottenburg-Wilm.,Private Room,2,1,14,Yes,Yes,Yes,No,35
Pankow,Entire Home/Apt,4,1,5,Yes,No,Yes,Yes,85
Mitte,Entire Home/Apt,1,1,8,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,9,No,Yes,No,Yes,65
Friedrichshain-Kreuzberg,Private Room,2,1,2,Yes,Yes,Yes,Yes,68
Pankow,Entire Home/Apt,4,1,19,Yes,Yes,Yes,Yes,65
Pankow,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,35
Lichtenberg,Entire Home/Apt,2,0,34,Yes,Yes,No,Yes,79
Friedrichshain-Kreuzberg,Private Room,2,1,23,Yes,No,Yes,Yes,105
Friedrichshain-Kreuzberg,Private Room,2,1,51,Yes,No,Yes,Yes,69
Treptow - Köpenick,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,25
Tempelhof - Schöneberg,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,55
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,65
Pankow,Private Room,2,1,6,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,3,1,8,Yes,No,No,Yes,50
Lichtenberg,Private Room,3,1,0,Yes,No,Yes,Yes,30
Marzahn - Hellersdorf,Entire Home/Apt,4,1,109,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,40
Mitte,Private Room,2,1,162,Yes,Yes,Yes,Yes,39
Neukölln,Entire Home/Apt,2,1,1,Yes,Yes,No,No,45
Pankow,Private Room,2,1,6,Yes,No,Yes,Yes,69
Treptow - Köpenick,Entire Home/Apt,2,1,3,Yes,Yes,Yes,Yes,76
Tempelhof - Schöneberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,40
Spandau,Entire Home/Apt,4,2,6,Yes,No,Yes,Yes,45
Mitte,Private Room,2,1,11,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,No,Yes,Yes,Yes,31
Reinickendorf,Entire Home/Apt,4,0,0,Yes,No,Yes,Yes,50
Treptow - Köpenick,Private Room,1,1,0,Yes,No,Yes,Yes,25
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,40
Charlottenburg-Wilm.,Private Room,2,1,59,Yes,Yes,Yes,Yes,34
Tempelhof - Schöneberg,Entire Home/Apt,3,1,4,Yes,Yes,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,71
Friedrichshain-Kreuzberg,Private Room,1,1,1,Yes,No,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,3,1,2,Yes,No,Yes,Yes,70
Neukölln,Private Room,5,2,70,Yes,No,Yes,Yes,75
Neukölln,Private Room,3,1,1,Yes,Yes,Yes,Yes,70
Neukölln,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Private Room,2,1,19,Yes,Yes,Yes,Yes,20
Neukölln,Entire Home/Apt,1,1,4,Yes,No,No,Yes,37
Tempelhof - Schöneberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,32
Neukölln,Entire Home/Apt,4,1,7,Yes,No,Yes,Yes,75
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,82,Yes,No,No,Yes,60
Mitte,Entire Home/Apt,2,0,35,Yes,Yes,Yes,Yes,41
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,Yes,45
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,7,Yes,Yes,No,Yes,55
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,5,Yes,Yes,Yes,Yes,59
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,40
Neukölln,Entire Home/Apt,2,1,5,Yes,Yes,Yes,Yes,80
Friedrichshain-Kreuzberg,Private Room,1,1,8,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,34,Yes,No,Yes,Yes,70
Pankow,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,50
Pankow,Private Room,2,1,5,Yes,Yes,Yes,Yes,29
Pankow,Entire Home/Apt,3,1,3,Yes,No,Yes,Yes,39
Charlottenburg-Wilm.,Entire Home/Apt,2,1,1,No,Yes,No,No,60
Friedrichshain-Kreuzberg,Private Room,2,1,11,Yes,No,Yes,Yes,51
Mitte,Private Room,1,1,5,Yes,Yes,No,No,40
Mitte,Private Room,4,1,2,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,0,No,No,Yes,Yes,95
Steglitz - Zehlendorf,Entire Home/Apt,1,1,7,Yes,No,Yes,Yes,44
Friedrichshain-Kreuzberg,Private Room,2,1,57,Yes,Yes,Yes,Yes,35
Neukölln,Private Room,1,1,0,Yes,No,Yes,Yes,35
Neukölln,Entire Home/Apt,4,1,5,No,Yes,Yes,Yes,65
Pankow,Entire Home/Apt,6,2,18,Yes,No,Yes,Yes,225
Tempelhof - Schöneberg,Private Room,1,1,2,Yes,Yes,No,Yes,25
Neukölln,Entire Home/Apt,5,2,3,Yes,Yes,Yes,Yes,95
Reinickendorf,Private Room,1,1,4,Yes,No,Yes,Yes,22
Friedrichshain-Kreuzberg,Private Room,2,1,7,Yes,No,Yes,Yes,48
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,49
Tempelhof - Schöneberg,Entire Home/Apt,2,2,3,Yes,No,Yes,Yes,110
Mitte,Entire Home/Apt,8,4,5,Yes,Yes,Yes,Yes,140
Treptow - Köpenick,Entire Home/Apt,2,1,105,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,No,Yes,120
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,65
Pankow,Entire Home/Apt,4,1,1,No,No,Yes,Yes,85
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,20
Mitte,Entire Home/Apt,3,0,2,Yes,Yes,Yes,Yes,50
Tempelhof - Schöneberg,Entire Home/Apt,4,1,27,Yes,No,Yes,Yes,63
Charlottenburg-Wilm.,Entire Home/Apt,4,1,3,Yes,Yes,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,3,2,2,Yes,Yes,Yes,Yes,36
Mitte,Entire Home/Apt,4,2,29,Yes,Yes,Yes,Yes,250
Pankow,Entire Home/Apt,4,2,3,Yes,No,Yes,Yes,75
Pankow,Entire Home/Apt,2,0,1,Yes,No,Yes,Yes,32
Lichtenberg,Entire Home/Apt,6,3,1,Yes,No,Yes,Yes,60
Charlottenburg-Wilm.,Private Room,2,1,5,Yes,No,Yes,Yes,30
Pankow,Entire Home/Apt,4,2,1,Yes,No,Yes,Yes,90
Pankow,Private Room,2,1,7,Yes,Yes,Yes,Yes,45
Friedrichshain-Kreuzberg,Private Room,2,1,5,No,Yes,No,No,69
Mitte,Entire Home/Apt,2,1,5,Yes,No,Yes,Yes,82
Pankow,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,25
Pankow,Entire Home/Apt,2,1,2,No,Yes,No,No,80
Lichtenberg,Private Room,2,1,4,Yes,No,Yes,Yes,40
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,Yes,Yes,Yes,20
Mitte,Private Room,1,1,66,Yes,Yes,No,No,40
Pankow,Private Room,2,1,1,Yes,Yes,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,4,1,4,Yes,Yes,Yes,Yes,45
Charlottenburg-Wilm.,Private Room,2,1,10,Yes,No,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,1,1,8,Yes,Yes,Yes,Yes,23
Tempelhof - Schöneberg,Private Room,2,1,13,Yes,No,Yes,Yes,32
Neukölln,Private Room,3,1,1,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,17,Yes,No,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,2,1,2,No,Yes,No,No,39
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,10,Yes,No,Yes,Yes,90
Pankow,Entire Home/Apt,4,1,26,No,Yes,No,Yes,100
Lichtenberg,Private Room,2,1,0,Yes,No,Yes,Yes,25
Lichtenberg,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,47
Friedrichshain-Kreuzberg,Entire Home/Apt,5,4,16,Yes,Yes,Yes,Yes,120
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,10,No,Yes,Yes,Yes,70
Spandau,Private Room,3,1,25,Yes,No,Yes,Yes,22
Mitte,Private Room,1,1,2,Yes,Yes,Yes,Yes,25
Tempelhof - Schöneberg,Private Room,2,1,208,Yes,Yes,Yes,No,40
Treptow - Köpenick,Private Room,2,1,0,Yes,Yes,Yes,Yes,50
Neukölln,Entire Home/Apt,3,1,2,Yes,No,Yes,Yes,69
Pankow,Entire Home/Apt,2,1,27,Yes,No,Yes,Yes,89
Friedrichshain-Kreuzberg,Entire Home/Apt,6,3,1,Yes,Yes,No,Yes,90
Pankow,Private Room,2,1,1,Yes,Yes,Yes,Yes,20
Pankow,Private Room,2,1,0,Yes,No,No,Yes,28
Pankow,Entire Home/Apt,2,1,23,Yes,Yes,Yes,Yes,69
Neukölln,Private Room,2,1,2,No,Yes,No,No,42
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,45
Neukölln,Private Room,2,1,1,Yes,No,Yes,Yes,25
Mitte,Private Room,4,1,120,Yes,Yes,Yes,Yes,32
Mitte,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,37
Neukölln,Private Room,2,1,12,Yes,Yes,Yes,Yes,25
Mitte,Private Room,2,1,5,Yes,No,Yes,Yes,23
Tempelhof - Schöneberg,Private Room,4,1,24,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,72,Yes,Yes,No,Yes,45
Steglitz - Zehlendorf,Private Room,1,1,0,Yes,No,Yes,Yes,25
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,7,Yes,No,Yes,Yes,56
Mitte,Private Room,2,1,21,Yes,Yes,Yes,Yes,50
Mitte,Private Room,2,1,8,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,3,1,11,Yes,Yes,Yes,Yes,45
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,42
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,No,Yes,38
Mitte,Private Room,2,1,1,Yes,Yes,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,1,0,0,Yes,Yes,Yes,Yes,42
Charlottenburg-Wilm.,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,150
Pankow,Entire Home/Apt,4,2,1,Yes,No,Yes,Yes,95
Neukölln,Entire Home/Apt,2,0,1,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,4,2,0,Yes,No,Yes,Yes,120
Charlottenburg-Wilm.,Entire Home/Apt,3,0,271,Yes,No,No,Yes,51
Pankow,Private Room,1,1,0,Yes,Yes,No,Yes,30
Tempelhof - Schöneberg,Private Room,2,1,14,Yes,Yes,No,Yes,56
Mitte,Private Room,2,1,5,Yes,No,Yes,Yes,25
Mitte,Private Room,1,1,1,Yes,Yes,Yes,Yes,36
Treptow - Köpenick,Entire Home/Apt,4,3,1,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,5,2,0,Yes,No,Yes,Yes,75
Pankow,Private Room,2,1,4,Yes,Yes,No,Yes,35
Mitte,Private Room,1,1,2,Yes,Yes,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,2,1,2,Yes,Yes,Yes,Yes,35
Pankow,Private Room,1,2,5,Yes,Yes,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,50
Tempelhof - Schöneberg,Private Room,3,1,101,Yes,Yes,Yes,No,39
Marzahn - Hellersdorf,Private Room,2,1,60,Yes,Yes,Yes,Yes,20
Lichtenberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Lichtenberg,Private Room,2,1,6,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,4,2,1,No,Yes,No,No,130
Mitte,Private Room,2,1,29,No,Yes,No,No,24
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,3,Yes,Yes,Yes,Yes,45
Friedrichshain-Kreuzberg,Entire Home/Apt,2,2,1,Yes,No,Yes,Yes,71
Mitte,Private Room,1,1,8,Yes,Yes,Yes,Yes,65
Tempelhof - Schöneberg,Private Room,2,1,5,Yes,No,Yes,Yes,26
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,62
Mitte,Entire Home/Apt,3,1,1,Yes,Yes,No,Yes,85
Neukölln,Private Room,1,1,1,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,No,Yes,35
Mitte,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,50
Pankow,Entire Home/Apt,4,2,3,Yes,Yes,Yes,Yes,159
Pankow,Entire Home/Apt,3,2,2,Yes,Yes,Yes,Yes,65
Neukölln,Private Room,1,1,28,Yes,Yes,No,Yes,17
Friedrichshain-Kreuzberg,Private Room,1,1,10,Yes,Yes,No,Yes,27
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,55
Neukölln,Private Room,2,1,17,Yes,Yes,Yes,Yes,34
Pankow,Private Room,1,1,1,No,Yes,No,No,35
Neukölln,Private Room,1,1,3,Yes,Yes,Yes,Yes,23
Mitte,Private Room,1,1,17,Yes,Yes,Yes,Yes,14
Mitte,Entire Home/Apt,3,1,1,Yes,No,Yes,Yes,42
Mitte,Entire Home/Apt,2,1,9,Yes,No,Yes,Yes,27
Friedrichshain-Kreuzberg,Private Room,3,1,0,Yes,Yes,Yes,Yes,25
Reinickendorf,Private Room,2,1,0,Yes,No,Yes,Yes,15
Treptow - Köpenick,Entire Home/Apt,1,1,1,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,0,3,Yes,No,No,Yes,89
Friedrichshain-Kreuzberg,Private Room,2,1,17,Yes,Yes,Yes,Yes,29
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,19,Yes,Yes,Yes,Yes,60
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,No,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,3,1,1,Yes,Yes,Yes,Yes,30
Neukölln,Entire Home/Apt,2,2,5,Yes,No,Yes,Yes,40
Mitte,Private Room,2,1,1,No,Yes,No,No,42
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,45
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,5,Yes,No,Yes,Yes,50
Mitte,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,2,No,Yes,No,No,25
Friedrichshain-Kreuzberg,Private Room,4,1,6,No,Yes,No,No,45
Neukölln,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,55
Mitte,Private Room,2,1,9,Yes,Yes,Yes,No,38
Pankow,Entire Home/Apt,2,2,7,Yes,No,Yes,Yes,50
Mitte,Entire Home/Apt,5,2,163,Yes,No,No,Yes,89
Neukölln,Entire Home/Apt,4,1,1,No,Yes,Yes,Yes,55
Neukölln,Private Room,2,1,5,Yes,Yes,Yes,Yes,25
Pankow,Private Room,1,1,1,Yes,No,Yes,Yes,23
Neukölln,Entire Home/Apt,4,1,209,Yes,Yes,No,Yes,80
Mitte,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,71
Spandau,Entire Home/Apt,12,5,17,No,No,No,Yes,290
Neukölln,Private Room,2,1,1,Yes,No,Yes,Yes,25
Pankow,Entire Home/Apt,2,1,4,Yes,Yes,Yes,Yes,50
Mitte,Entire Home/Apt,2,1,9,Yes,Yes,Yes,Yes,62
Tempelhof - Schöneberg,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,80
Neukölln,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,35
Friedrichshain-Kreuzberg,Entire Home/Apt,3,2,11,Yes,Yes,Yes,Yes,79
Charlottenburg-Wilm.,Entire Home/Apt,2,1,4,Yes,Yes,Yes,Yes,45
Lichtenberg,Private Room,2,1,0,Yes,No,Yes,Yes,21
Neukölln,Private Room,1,1,1,Yes,No,Yes,Yes,24
Pankow,Private Room,4,1,0,Yes,Yes,Yes,Yes,25
Pankow,Entire Home/Apt,2,1,12,Yes,No,Yes,Yes,35
Spandau,Private Room,1,1,87,Yes,Yes,Yes,Yes,18
Tempelhof - Schöneberg,Entire Home/Apt,4,2,1,Yes,No,Yes,Yes,200
Friedrichshain-Kreuzberg,Private Room,2,1,11,Yes,Yes,Yes,Yes,30
Neukölln,Entire Home/Apt,1,1,34,Yes,No,Yes,Yes,50
Mitte,Private Room,2,1,0,Yes,Yes,Yes,Yes,35
Mitte,Entire Home/Apt,3,2,9,Yes,Yes,Yes,Yes,76
