Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Tempelhof - Schöneberg,Entire Home/Apt,6,3,53,Yes,No,Yes,Yes,130
Pankow,Entire Home/Apt,4,2,3,Yes,No,Yes,Yes,69
Friedrichshain-Kreuzberg,Entire Home/Apt,2,2,3,Yes,Yes,Yes,Yes,75
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,84,Yes,No,Yes,Yes,68
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,5,Yes,No,Yes,Yes,125
Treptow - Köpenick,Entire Home/Apt,4,1,26,Yes,No,No,Yes,70
Mitte,Entire Home/Apt,2,1,443,Yes,No,Yes,Yes,89
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,16,Yes,No,Yes,Yes,59
Tempelhof - Schöneberg,Entire Home/Apt,6,3,148,Yes,No,Yes,Yes,96
Mitte,Private Room,2,1,226,Yes,No,Yes,Yes,55
Neukölln,Entire Home/Apt,4,1,55,Yes,No,Yes,Yes,55
Friedrichshain-Kreuzberg,Private Room,3,1,107,Yes,No,Yes,Yes,70
Pankow,Entire Home/Apt,2,1,39,Yes,No,Yes,Yes,31
Mitte,Private Room,4,2,47,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,10,Yes,No,Yes,Yes,81
Pankow,Private Room,2,1,127,Yes,Yes,Yes,Yes,52
Pankow,Entire Home/Apt,2,2,4,Yes,No,Yes,Yes,100
Mitte,Entire Home/Apt,3,1,95,Yes,No,Yes,Yes,36
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,45,Yes,Yes,Yes,Yes,88
Mitte,Private Room,4,1,252,Yes,Yes,Yes,Yes,29
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,100
Charlottenburg-Wilm.,Entire Home/Apt,6,2,43,Yes,No,Yes,Yes,161
Reinickendorf,Entire Home/Apt,6,2,5,No,No,Yes,Yes,65
Pankow,Entire Home/Apt,5,2,103,Yes,Yes,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,71,Yes,Yes,Yes,Yes,29
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,12,Yes,Yes,Yes,Yes,80
Friedrichshain-Kreuzberg,Private Room,2,1,374,Yes,Yes,Yes,Yes,49
Pankow,Entire Home/Apt,3,1,6,Yes,No,No,Yes,49
Lichtenberg,Entire Home/Apt,4,1,28,Yes,No,Yes,Yes,59
Tempelhof - Schöneberg,Private Room,2,1,13,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Private Room,1,1,15,Yes,Yes,Yes,Yes,23
Mitte,Private Room,2,1,5,Yes,No,Yes,Yes,40
Neukölln,Private Room,3,1,48,Yes,Yes,Yes,Yes,35
Pankow,Entire Home/Apt,2,1,84,Yes,No,Yes,Yes,70
Pankow,Entire Home/Apt,5,2,33,Yes,No,Yes,Yes,80
Mitte,Private Room,2,1,1,Yes,Yes,Yes,Yes,42
Mitte,Entire Home/Apt,3,2,31,Yes,No,Yes,Yes,96
Mitte,Entire Home/Apt,3,2,56,Yes,No,Yes,Yes,75
Mitte,Entire Home/Apt,5,2,41,Yes,No,No,Yes,96
Mitte,Entire Home/Apt,3,2,81,Yes,No,Yes,Yes,76
Tempelhof - Schöneberg,Entire Home/Apt,2,1,8,No,No,Yes,Yes,46
Friedrichshain-Kreuzberg,Entire Home/Apt,6,3,18,Yes,No,Yes,Yes,296
Friedrichshain-Kreuzberg,Entire Home/Apt,6,2,17,Yes,No,Yes,Yes,244
Reinickendorf,Private Room,2,3,11,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,50
Charlottenburg-Wilm.,Entire Home/Apt,3,1,39,Yes,No,Yes,Yes,59
Neukölln,Entire Home/Apt,3,1,71,Yes,Yes,Yes,Yes,75
Pankow,Entire Home/Apt,12,3,118,Yes,No,Yes,Yes,170
Charlottenburg-Wilm.,Entire Home/Apt,1,1,18,Yes,No,Yes,Yes,39
Friedrichshain-Kreuzberg,Private Room,1,1,385,Yes,Yes,No,No,39
Mitte,Entire Home/Apt,2,1,389,Yes,No,No,Yes,64
Pankow,Private Room,3,1,15,Yes,Yes,Yes,Yes,35
Charlottenburg-Wilm.,Entire Home/Apt,5,1,350,Yes,No,Yes,Yes,100
Pankow,Entire Home/Apt,6,4,36,Yes,No,Yes,Yes,375
Neukölln,Private Room,1,1,14,Yes,No,No,Yes,29
Tempelhof - Schöneberg,Entire Home/Apt,2,1,51,Yes,No,Yes,Yes,32
Treptow - Köpenick,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,45
Treptow - Köpenick,Entire Home/Apt,10,2,7,Yes,No,Yes,Yes,120
Mitte,Private Room,1,1,224,Yes,Yes,No,No,25
Steglitz - Zehlendorf,Entire Home/Apt,2,1,63,Yes,No,No,Yes,59
Reinickendorf,Entire Home/Apt,5,1,4,No,Yes,No,Yes,86
Pankow,Entire Home/Apt,3,1,14,Yes,Yes,Yes,Yes,45
Pankow,Entire Home/Apt,4,2,63,Yes,No,Yes,Yes,100
Neukölln,Entire Home/Apt,4,0,3,Yes,No,No,Yes,50
Mitte,Private Room,2,1,40,Yes,No,Yes,Yes,49
Pankow,Entire Home/Apt,5,2,25,Yes,No,Yes,Yes,55
Mitte,Entire Home/Apt,4,0,212,Yes,No,Yes,Yes,79
Mitte,Entire Home/Apt,4,1,253,Yes,No,Yes,Yes,75
Friedrichshain-Kreuzberg,Private Room,2,1,398,Yes,Yes,No,No,49
Mitte,Private Room,2,1,341,Yes,Yes,Yes,No,38
Lichtenberg,Entire Home/Apt,5,2,33,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,2,1,132,Yes,No,Yes,Yes,75
Mitte,Entire Home/Apt,4,1,90,Yes,No,Yes,Yes,75
Lichtenberg,Private Room,2,1,101,Yes,No,Yes,Yes,38
Friedrichshain-Kreuzberg,Private Room,4,2,6,Yes,No,Yes,No,89
Mitte,Entire Home/Apt,4,2,301,Yes,No,No,Yes,74
Friedrichshain-Kreuzberg,Entire Home/Apt,2,0,92,Yes,Yes,No,Yes,50
Pankow,Entire Home/Apt,2,1,27,Yes,No,No,Yes,120
Charlottenburg-Wilm.,Private Room,1,1,9,Yes,No,No,No,38
Tempelhof - Schöneberg,Private Room,2,1,10,Yes,No,Yes,Yes,25
Steglitz - Zehlendorf,Entire Home/Apt,4,2,0,Yes,No,Yes,Yes,89
Mitte,Entire Home/Apt,2,1,189,Yes,No,Yes,Yes,88
Pankow,Entire Home/Apt,4,2,110,Yes,No,Yes,Yes,125
Lichtenberg,Private Room,2,1,129,Yes,Yes,Yes,Yes,49
Charlottenburg-Wilm.,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,50
Neukölln,Entire Home/Apt,4,2,0,Yes,No,Yes,Yes,100
Charlottenburg-Wilm.,Private Room,1,1,5,Yes,No,Yes,Yes,35
Mitte,Entire Home/Apt,2,1,22,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,5,3,7,Yes,No,Yes,Yes,195
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,150
Charlottenburg-Wilm.,Private Room,2,1,31,Yes,No,Yes,Yes,200
Mitte,Entire Home/Apt,5,1,245,Yes,No,No,Yes,165
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,55
Mitte,Private Room,1,1,161,Yes,Yes,No,Yes,35
Charlottenburg-Wilm.,Private Room,1,1,7,No,Yes,No,No,51
Neukölln,Private Room,2,1,189,Yes,No,Yes,Yes,35
Mitte,Private Room,3,1,195,Yes,No,No,No,45
Charlottenburg-Wilm.,Entire Home/Apt,2,1,16,Yes,No,Yes,Yes,60
Steglitz - Zehlendorf,Private Room,2,1,29,Yes,No,Yes,Yes,45
Mitte,Entire Home/Apt,4,2,413,Yes,No,Yes,Yes,75
Mitte,Entire Home/Apt,2,1,195,Yes,No,Yes,Yes,69
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,6,Yes,Yes,Yes,Yes,45
Treptow - Köpenick,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,50
Mitte,Entire Home/Apt,5,3,29,Yes,No,Yes,Yes,110
Mitte,Private Room,1,1,19,Yes,Yes,Yes,Yes,95
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,41,Yes,No,Yes,Yes,75
Treptow - Köpenick,Private Room,1,1,200,Yes,No,Yes,Yes,30
Mitte,Entire Home/Apt,2,1,51,Yes,No,Yes,Yes,65
Mitte,Entire Home/Apt,2,1,35,Yes,No,Yes,Yes,65
Mitte,Private Room,2,1,106,Yes,Yes,Yes,Yes,46
Tempelhof - Schöneberg,Entire Home/Apt,8,4,7,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,3,1,130,Yes,Yes,Yes,Yes,28
Charlottenburg-Wilm.,Entire Home/Apt,1,1,18,No,No,No,Yes,30
Tempelhof - Schöneberg,Entire Home/Apt,2,1,62,Yes,No,Yes,Yes,49
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,7,Yes,No,Yes,Yes,55
Charlottenburg-Wilm.,Entire Home/Apt,2,1,36,Yes,No,Yes,Yes,98
Neukölln,Private Room,2,1,30,Yes,Yes,Yes,Yes,32
Marzahn - Hellersdorf,Entire Home/Apt,4,1,15,Yes,No,Yes,Yes,55
Mitte,Entire Home/Apt,2,1,42,Yes,No,Yes,Yes,39
Mitte,Entire Home/Apt,4,2,39,Yes,No,Yes,Yes,82
Friedrichshain-Kreuzberg,Private Room,4,1,277,Yes,Yes,Yes,Yes,46
Mitte,Private Room,1,1,127,Yes,Yes,Yes,Yes,60
Reinickendorf,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,60
Neukölln,Entire Home/Apt,3,0,5,Yes,No,No,Yes,43
Mitte,Entire Home/Apt,4,2,7,Yes,No,No,Yes,85
Pankow,Entire Home/Apt,2,1,373,Yes,Yes,No,Yes,60
Pankow,Private Room,2,1,80,Yes,Yes,No,Yes,58
Mitte,Private Room,2,1,101,Yes,No,Yes,Yes,55
Friedrichshain-Kreuzberg,Private Room,2,1,55,Yes,Yes,Yes,Yes,30
Neukölln,Private Room,2,1,146,Yes,Yes,No,No,31
Marzahn - Hellersdorf,Private Room,1,1,16,Yes,No,Yes,Yes,35
Mitte,Entire Home/Apt,2,1,105,Yes,No,Yes,Yes,45
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,42,Yes,No,No,Yes,100
Steglitz - Zehlendorf,Entire Home/Apt,4,1,0,Yes,No,Yes,Yes,95
Steglitz - Zehlendorf,Entire Home/Apt,4,1,1,Yes,No,Yes,Yes,95
Mitte,Entire Home/Apt,4,0,73,Yes,No,No,Yes,63
Mitte,Entire Home/Apt,5,1,24,Yes,No,Yes,Yes,175
Mitte,Entire Home/Apt,5,2,179,Yes,No,Yes,Yes,130
Mitte,Entire Home/Apt,8,2,150,Yes,No,Yes,Yes,120
Treptow - Köpenick,Entire Home/Apt,4,2,69,Yes,No,Yes,Yes,64
Tempelhof - Schöneberg,Entire Home/Apt,3,1,163,Yes,No,Yes,Yes,55
Tempelhof - Schöneberg,Private Room,3,1,62,Yes,Yes,Yes,Yes,29
Mitte,Entire Home/Apt,6,3,104,Yes,No,Yes,Yes,150
Pankow,Entire Home/Apt,4,1,32,Yes,No,Yes,Yes,76
Mitte,Entire Home/Apt,4,1,67,Yes,No,Yes,Yes,79
Tempelhof - Schöneberg,Entire Home/Apt,3,0,119,Yes,No,Yes,Yes,49
Charlottenburg-Wilm.,Private Room,3,1,12,Yes,No,Yes,Yes,45
Charlottenburg-Wilm.,Private Room,3,1,5,Yes,No,Yes,Yes,45
Pankow,Entire Home/Apt,2,1,148,Yes,No,Yes,Yes,91
Tempelhof - Schöneberg,Entire Home/Apt,4,1,114,Yes,No,Yes,Yes,69
Charlottenburg-Wilm.,Entire Home/Apt,6,2,44,Yes,No,Yes,Yes,70
Neukölln,Entire Home/Apt,2,2,3,Yes,Yes,Yes,Yes,55
Pankow,Private Room,1,1,6,Yes,Yes,No,No,45
Pankow,Private Room,2,1,3,Yes,Yes,No,No,50
Pankow,Private Room,2,1,8,Yes,Yes,No,No,55
Charlottenburg-Wilm.,Entire Home/Apt,6,2,14,Yes,No,Yes,Yes,93
Friedrichshain-Kreuzberg,Private Room,8,1,94,Yes,Yes,Yes,Yes,175
Pankow,Private Room,4,1,14,Yes,Yes,No,No,95
Tempelhof - Schöneberg,Entire Home/Apt,3,1,28,Yes,No,No,Yes,52
Tempelhof - Schöneberg,Entire Home/Apt,4,1,18,Yes,No,No,Yes,59
Charlottenburg-Wilm.,Entire Home/Apt,4,1,4,Yes,No,Yes,Yes,58
Tempelhof - Schöneberg,Entire Home/Apt,6,2,1,Yes,No,Yes,Yes,72
